Room Number,Room Name,Location,Capacity,Category,Furniture Type,Digital Projection,Projector Screen,DVD,VHS,Visualiser,Radio Mic,TV monitor,Interactive Whiteboard,Whiteboard (s),Other,Black Out Blinds,Telephone Extension,Comments,Space controlled by 
DLHQZ,DLHQZ– Docklands Hub Quiet Zone,East Building - Docklands Hub,multi-use,exhibition space,Social Space,,,,,,,,,,,,N/A,Bookings subject to approval from Student Support -Risk Assessment maybe required,HUB
DLHSA,DLHSA– Docklands Hub Social Area,East Building - Docklands Hub,multi-use,exhibition space,Social Space,,,,,,,,,,,,N/A,Bookings subject to approval from Student Support -Risk Assessment maybe required,HUB
EB.1.01,EB.1.01,East Building,50,flat room,chairs with writing tablets,●,,●,●, ,,,,●●,,,x7412,,Facilties 
EB.1.03,EB.1.03,East Building,50,flat room,chairs with writing tablets, ,,●, ,,,●, ,●●,,,x7039,,Facilties 
EB.1.04,EB.1.04,East Building,45,flat room,tables and chairs, ,,●, ,, ,●, ,●●,,,x7029 ,,Facilties 
EB.1.07,EB.1.07,East Building,50,flat room,tables and chairs, ,,●, ,,,,●,●●●,,,x7030,,Facilties 
EB.1.08,EB.1.08,East Building,40,flat room,chairs with writing tablets,●,●,●,●,,,,,●●,,,x7104,,Facilties 
EB.1.105,EB.1.105,East Building,40,flat room,tables and chairs, , ,●, ,, ,●,,●●,Blue Ray,,x7394 ,,Facilties 
EB.1.37,EB.1.37 - Matrix East,East Building,,flat room,specialist workstations,,,,,,,,,,,,,Limited to ADI bookings only,ADI
EB.1.39,Board Room,East Building,20,meeting room,board room,●,●,●,●,,,,,●,,,x7083,limited to bookings for meetings only,Facilties 
EB.1.40,EB.1.40,East Building,30,flat room,tables and chairs,●,●,●,●,,,,,●●,,,x7064,,Facilties 
EB.1.41,EB.1.41,East Building,50,flat room,tables and chairs,●,●,●,●,●,,,,●●,,,x7329,,Facilties 
EB.1.42,EB.1.42,East Building,25,flat room,tables and chairs,●,●,●,●,,,,,●●,,,x7285,,Facilties 
EB.1.44,EB.1.44,East Building,30,flat room,tables and chairs, , ,●, ,,,●, ,●●,Blue Ray,●,x7126,,Facilties 
EB.1.45,EB.1.45,East Building,30,flat room,tables and chairs,●,●,●,●,,,,,●,,,x7258,,Facilties 
EB.1.46,EB.1.46,East Building,30,flat room,chairs with writing tablets,●,●,●, ,,●,,,●●●,Blue Ray,●,x7424,,Facilties 
EB.1.62,EB.1.62,East Building,25,flat room,tables and chairs, , ,●, ,,,●, ,●●,Blue Ray,,x7353 ,,Facilties 
EB.1.63,EB.1.63,East Building,36,flat room,tables and chairs,●,●,●,●,,●,,,●,,,x7591,,Facilties 
EB.2.40,EB.2.40,East Building,,flat room,specialist workstations,,,,,,,,,,,,,Limited to ADI bookings only,ADI
EB.2.41,EB.2.41,East Building,,flat room,specialist workstations,●,,●,●,,,,●, ,,,x7123,Limited to Social Sciences bookings only,SOC
EB.2.43,EB.2.43,East Building,200,tiered room,tiered seating,●,,●, ,●,●,,,●●●,Blue Ray,,x7080,,Facilties 
EB.2.44,EB.2.44,East Building,200,tiered room,tiered seating,●,,●, ,●,●,,,●●●,Blue Ray,,x7414,,Facilties 
EB.2.45,EB.2.45,East Building,32,flat room,tables and chairs, ,,●, ,,,●, ,●●●,,,x7120,,Facilties 
EB.2.46,EB.2.46,East Building,36,flat room,tables and chairs,●,●,●,●,,●,,,●●,,,x7117,,Facilties 
EB.2.88,EB.2.88,East Building,60,flat room,tables and chairs,●,●,●,●,,,,,●●,,,x7587,,Facilties 
EB.3.11,EB.3.11,East Building,40,flat room,chairs with writing tablets,●,●,●, ,●,,,,●●,Blue Ray,,x7654,,Facilties 
EB.3.12,EB.3.12,East Building,30,flat room,tables and chairs,●,●,●, ,●,,,,●,Blue Ray,,x7172,,Facilties 
EB.3.15,EB.3.15,East Building,30,flat room,chairs with writing tablets,●,●,●,●,,,,,●,,●,x7111,,Facilties 
EB.3.16,EB.3.16,East Building,70,flat room,tables and chairs,●,●,●,●,,,,,●,,●,x7614,,Facilties 
EB.3.17,EB.3.17,East Building,30,flat room,chairs with writing tablets,●,●,●,●,,,,,●,,●,x7195,,Facilties 
EB.3.18,EB.3.18,East Building,25,flat room,chairs with writing tablets,●,●,●, ,●,,,,●●,Blue Ray,●,x7198,,Facilties 
EB.3.19,EB.3.19,East Building,60,flat room,tables and chairs,●,●,●,●,,,,,●●,,●,x7131,,Facilties 
EB.G.06,EB.G.06,East Building,120,tiered room,tiered seating,●,●,●, ,●,,,,●●●,Blue Ray,●,x7108,,Facilties 
EB.G.07,EB.G.07,East Building,25,flat room,chairs with writing tablets,●,●,●,●,●,,,,●●,,●,x7236,,Facilties 
EB.G.08,EB.G.08,East Building,90,tiered room,tiered seating,●,●,●,,●,,,,●●,,●,x7102,,Facilties 
EB.G.10,EB.G.10,East Building,50,flat room,chairs with writing tablets,●,●,●,,●,●,,,●●,Blue Ray,●,x7272,,Facilties 
ITC01,Cluster 1,Docklands Library,33,flat room,IT Workstations,,,,,,,,,●,,,N/A,Enclosed IT cluster,IT
